338290,0x02
338291,0x20
338298,0x00
338299,0x00
338300,0x01
338306,0x00
338307,0x20
338314,0x01
338315,0x20
338322,0x02
338323,0x20
338324,0x0C
338330,0x00
338331,0x00
338332,0x0D
338338,0x00
338339,0x20
338346,0x01
338347,0x20
340894,0xC1
340896,0x44
340902,0xC7
340904,0x44
340910,0xC2
340912,0x45
340916,0x00
340918,0xB0
340920,0x90
340930,0x00
340931,0x20
340934,0x90
340936,0x45
340942,0x95
340944,0x45
340950,0x91
340952,0x45
340962,0x01
340963,0x20
340966,0xA9
340968,0x31
340974,0xAF
340976,0x31
340982,0xAA
340984,0x31
340994,0x02
340995,0x20
340996,0x0C
341002,0x00
341003,0x00
341004,0x0D
341010,0x00
341011,0x20
341018,0x01
341019,0x20
